respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.057268393038210165,0.29531121521109227
26708,0.04731191192314722,0.0455044636474303
26709,0.41469704995812395,0.5924423776134051
26710,0.48645805506444695,0.8776653594798918
26711,0.1577476891875105,0.47387405212686984
26712,0.45857533397635064,0.9241318081086795
26713,0.3650130597970655,0.5976653054421042
26714,0.1423847897216081,0.21911425378500865
26715,0.045417224629199705,0.16403483934657687
26716,0.21612557597318757,0.8882171444610109
26717,0.011069757221812637,0.26757606961522556
26718,0.22299654476335315,0.5507701762333831
26719,0.07026948599146669,0.919180025386915
26720,0.06534544219786584,0.22158686551352236
26721,0.3223683036360146,0.3492424572318234
26722,0.07870862405003073,0.09317816113503494
26723,0.6604205234557625,0.8561304306351295
26724,0.1192896713270667,0.6352627380937392
26725,0.025676642775115825,0.06584400692479385
26726,0.01450072124255172,0.03376129336374002
26727,0.35025665383261534,0.8483728784535319
26728,0.17339363699217647,0.6027559355252047
26729,0.4359730398859575,0.9119042498495663
26730,0.03743056460417848,0.19877966071424003
26731,0.018700634680044327,0.34010096772382853
26732,0.09474889130614508,0.07575678708900818
26733,0.91809618515291,0.9556795782681453
26734,0.8854108423697841,0.37824589955526294
26735,0.16374499083886246,0.4883180043729971
26736,0.057498474913885156,0.16617925248516122
26737,0.08069888687348316,0.10487197605231659
26738,0.5795411767620784,0.834358000965395
26739,0.12208908247089431,0.29454982619970116
26740,0.1240684466099529,0.12922731175592345
26741,0.2040311110517869,0.9023945400810521
26742,0.10718127178366839,0.4446830375084255
26743,0.050223564438466574,0.5878934205687526
26744,0.05871026366065796,0.661871109002718
26745,0.09758341460236299,0.9344248277031808
26746,0.12282303777420918,0.34797499310959323
26747,0.06889487996910083,0.17939315872401831
26748,0.10579142457519958,0.03660948837664666
26749,0.10948197948775035,0.7070780477082713
26750,0.6875586230870837,0.9334366164197109
26751,0.30220857141269825,0.7248009882451416
26752,0.024396056902296282,0.019003838045038312
26753,0.2136153856922233,0.6837580990786297
26754,0.1332960945645405,0.6481241619419936
26755,0.10106879371081491,0.3773641876815908
26756,0.018433749575543244,0.032506108169073344
26757,0.3714840530696382,0.5011401765832003
26758,0.7287804763434261,0.9035396900437316
26759,0.022313716668730554,0.1713139105044115
26760,0.014383165876264488,0.026744052004918046
26761,0.17945903235758515,0.6258205258330712
26762,0.1435564350715679,0.8325236083817567
26763,0.8932935139658947,0.9695597178203733
26764,0.9208027834668959,0.965566020472214
26765,0.028227683807392216,0.6858498863094761
26766,0.0966104704875775,0.18337756636891817
26767,0.7650574603539299,0.7677321775822975
26768,0.011859977104605636,0.40795080749519785
26769,0.11658265138633252,0.15878843709827742
26770,0.08849097985722303,0.5252341300670397
26771,0.04636244319998478,0.19217610853148556
26772,0.05239219787105607,0.42878294126742167
26773,0.01337277778408085,0.47910395755597585
26774,0.028264359526965696,0.5642305578230704
26775,0.07777249143605203,0.5209723874847886
26776,0.39160296792897553,0.30503525745448257
26777,0.10563419548047728,0.9481305816407976
26778,0.11480702096231067,0.0923036479046324
26779,0.12679724503689715,0.518962013498225
26780,0.10532716039649295,0.9639962080080358
26781,0.04460966832186331,0.4926777619923933
26782,0.045696514744384555,0.2810804041084887
26783,0.06444349458907617,0.30764817222749624
26784,0.417045931037616,0.8908529274651933
26785,0.3586058005637624,0.5755825565385149
26786,0.08669780110592679,0.29277856058427887
26787,0.10625093452656906,0.5086652260549137
26788,0.09814017647052577,0.9065230146498143
26789,0.01111186462676913,0.2334344769638834
26790,0.06162887235864639,0.28330826499496387
26791,0.07799468190026991,0.1260707049881694
26792,0.19458112344023923,0.7451199467016963
26793,0.11648751624778651,0.8973335558047747
26794,0.770859233299075,0.8935377181513113
26795,0.05020091119306357,0.9603952815416726
26796,0.04249221213611597,0.03687354781122017
26797,0.10656282982599131,0.6410259959872024
26798,0.19892700337893715,0.15704324701957711
26799,0.27473228211668027,0.20615668958845743
26800,0.033232119948988836,0.9188077866799628
26801,0.270127434790692,0.40965126988442174
26802,0.07750282202867124,0.15482012463382283
26803,0.05534684600732468,0.1688727016940664
26804,0.0702821327509986,0.12533521316079468
26805,0.08435499293554534,0.21278819286907685
26806,0.07750570879338484,0.9178462132567099
26807,0.6820043003042917,0.9568832674907868
26808,0.26736453040231956,0.582746103748613
26809,0.7340797600096649,0.14118150110187122
26810,0.04086938489570418,0.11266487660772792
26811,0.044966272686657,0.05269380165011234
26812,0.17187289619199608,0.630339216158171
26813,0.3565262570321172,0.34227468760378343
26814,0.03665133493839378,0.5095012026223049
26815,0.0402595401640425,0.08644186649054987
26816,0.051478388135271176,0.2189155705896237
26817,0.16499263136857648,0.7735715248611514
26818,0.058042076698708735,0.2774302864058326
26819,0.4327138360528045,0.44682680097320654
26820,0.08859307641952824,0.28523848378459293
26821,0.08686971997480403,0.551918952567782
26822,0.27572845884282843,0.6391272163451223
26823,0.4490226096188275,0.5966893096799171
26824,0.040743130499932674,0.7030332396637259
26825,0.35732784944583357,0.7325429942264955
26826,0.09975251779460141,0.7671123150426554
26827,0.03532376149346766,0.0908656208159211
26828,0.15815896116611167,0.6846831411932672
26829,0.6160933141228794,0.9305866606686318
26830,0.07495964356471213,0.7689510865117263
26831,0.2287863664930422,0.8622778941364532
26832,0.13325521884990368,0.8500833900362187
26833,0.005157653060056892,0.30827897011695726
26834,0.10323186093879931,0.4170004658965799
26835,0.38248634547757365,0.8997087218816293
26836,0.15050207911865993,0.6518006459349363
26837,0.03608275776689369,0.010904100793045919
26838,0.1027684492470496,0.4624435563771348
26839,0.12078582095778306,0.5494938052998565
26840,0.0898780007166757,0.132807730208824
26841,0.37842066240146827,0.8024232837204512
26842,0.08581169301055742,0.20591104055074927
26843,0.038169976973910086,0.015041012114244098
26844,0.07340721571018234,0.5457998367596687
26845,0.040897355359311584,0.6565337357549305
26846,0.07651182212200405,0.7738834376823764
26847,0.3225578417856924,0.11129076074374075
26848,0.045945306335062094,0.6788024096732318
26849,0.15262807357415567,0.579059729324198
26850,0.4378364701617376,0.6018964273249492
26851,0.031166043677750506,0.061604110091129746
26852,0.03368116321439135,0.06582207309577044
26853,0.5261600389290618,0.6019267437296766
26854,0.014522954691551373,0.06727529297644431
26855,0.6264016642390423,0.8731708340929673
26856,0.10270340019936443,0.02654885200901645
26857,0.42690521099893436,0.17939010746111428
